Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
1,Tesla,2016,NA,Electrico,Automatico,61234,Usado,64827.24,Model X
2,BMW,2018,2,Gasolina,Manual,25258,Usado,23271.83,5 Series
3,Audi,2013,3,Gasolina,Manual,67987,Usado,13597.37,A4
5,Ford,2009,5.4,Gasolina,Manual,108525,Usado,9209.05,Mustang
6,Audi,2019,2,Hibrido,Automatico,68260,Usado,56617.09,Q7
7,Audi,2020,2,Gasolina,Automatico,68216,Usado,39286.89,Q5
9,Honda,2023,1.5,Gasolina,Manual,18327,Usado,22797.83,Civic
10,Ford,2010,4,Gasolina,Automatico,113251,Usado,7516.96,Explorer
12,Ford,2017,5,Gasolina,Automatico,57500,Usado,30207.65,Mustang
13,Ford,2006,2,Gasolina,Automatico,129164,Usado,5731.11,Fiesta
14,Audi,2023,4,Diesel,Automatico,0,Nuevo,60886.85,Q7
15,BMW,2014,2,Diesel,Automatico,95803,Usado,23020.13,X3
16,Ford,2010,4,Gasolina,Automatico,108744,Usado,9695.44,Mustang
17,Mercedes,2017,1.5,Diesel,Automatico,19561,Usado,20496.27,GLA
18,Audi,2022,1,Gasolina,Automatico,24488,Usado,31284.92,A3
19,Honda,2011,1.8,Gasolina,Automatico,75453,Usado,10468.01,Civic
20,BMW,2005,3,Diesel,Automatico,139350,Usado,9381.73,X5
21,Mercedes,2019,3,Gasolina,Automatico,66338,Usado,44521.95,C-Class
22,Mercedes,2022,2,Hibrido,Automatico,21802,Usado,66698.42,E-Class
23,Honda,2012,2.2,Diesel,Manual,95522,Usado,14828.23,CR-V
24,BMW,2019,4.4,Gasolina,Automatico,36825,Usado,35406.93,X5
25,Audi,2015,3.2,Gasolina,Automatico,92343,Usado,22827.21,Q5
26,Toyota,2017,2,Gasolina,Automatico,54192,Usado,21216.46,Camry
27,BMW,2009,2.5,Gasolina,Manual,97149,Usado,9067.25,X3
28,Honda,2022,1.5,Gasolina,Manual,19444,Usado,25777.62,Accord
30,Audi,2017,1.6,Diesel,Automatico,86945,Usado,24309.3,A3
31,BMW,2020,3,Diesel,Automatico,54319,Usado,46020.14,X5
32,Toyota,2000,1.6,Gasolina,Automatico,113479,Usado,3598.05,Corolla
33,Toyota,2022,2,Gasolina,Automatico,5160,Como Nuevo,23153.8,Corolla
34,Ford,2007,1.4,Gasolina,Manual,139904,Usado,5995.2,Fiesta
35,Ford,2005,4,Gasolina,Automatico,113873,Usado,5102.57,Mustang
37,Honda,2014,1.5,Hibrido,Automatico,107065,Usado,14340.43,Fit
38,BMW,2021,2,Diesel,Automatico,28777,Usado,71958.98,5 Series
39,BMW,2014,2,Diesel,Manual,77838,Usado,18031.61,X3
41,Mercedes,2000,2.9,Diesel,Manual,148147,Usado,9814.73,E-Class
42,Mercedes,2022,1.3,Hibrido,Automatico,20046,Usado,42874.81,GLA
43,Tesla,2022,NA,Electrico,Automatico,7359,Usado,42917.24,Model Y
46,BMW,2017,1.6,Gasolina,Automatico,23931,Usado,23568.27,5 Series
47,Tesla,2017,NA,Electrico,Automatico,43420,Usado,44094.9,Model S
48,BMW,2016,4.4,Gasolina,Automatico,39278,Usado,36895.27,X5
49,Toyota,2007,1.5,Hibrido,Automatico,100080,Usado,8481.56,Prius
50,Ford,2014,2,Gasolina,Automatico,112379,Usado,18349.55,Explorer
52,Ford,2016,3.7,Gasolina,Automatico,32711,Usado,22999.84,Mustang
54,Audi,2007,1.9,Diesel,Automatico,114634,Usado,11370.75,A4
55,Toyota,2013,2,Gasolina,Manual,84634,Usado,12195.15,Camry
58,BMW,2000,4.4,Gasolina,Manual,146179,Usado,9040.67,5 Series
59,Toyota,2018,1.8,Hibrido,Automatico,47844,Usado,20081.87,Prius
60,BMW,2015,3,Diesel,Manual,83412,Usado,18353.08,3 Series
62,Honda,2020,1.5,Gasolina,Automatico,52074,Usado,19335.59,Accord
63,Honda,2015,2.2,Diesel,Automatico,91216,Usado,14891.53,CR-V
64,Toyota,2004,3,Gasolina,Automatico,102631,Usado,3830.41,Camry
65,Honda,2008,1.2,Gasolina,Automatico,113380,Usado,7478.86,Fit
66,Audi,2001,1.6,Gasolina,Manual,128682,Usado,6471.88,A4
67,Honda,2017,1.5,Gasolina,Automatico,37926,Usado,17493.84,CR-V
68,BMW,2005,3,Diesel,Manual,139898,Usado,8851.31,X3
69,BMW,2008,2,Gasolina,Manual,101889,Usado,10943.75,5 Series
71,BMW,2008,2.2,Gasolina,Manual,136016,Usado,15948.98,5 Series
72,Tesla,2015,NA,Electrico,Automatico,48526,Usado,47097.39,Model S
73,BMW,2012,4.8,Gasolina,Manual,89229,Usado,25768.64,X5
74,Audi,2008,2.5,Gasolina,Automatico,139590,Usado,11506.97,A3
75,Tesla,2020,NA,Electrico,Automatico,52408,Usado,49379.73,Model S
76,Ford,2012,1.4,Diesel,Manual,86489,Usado,8040.77,Fiesta
78,Toyota,2010,2,Gasolina,Automatico,87293,Usado,6486.02,RAV4
79,BMW,2003,4.6,Gasolina,Automatico,152571,Usado,10769.93,X5
80,Honda,2001,1.5,Gasolina,Manual,145324,Usado,5766.19,Fit
81,BMW,2005,2.5,Diesel,Automatico,108334,Usado,6015.71,5 Series
82,Honda,2013,2.2,Diesel,Manual,71846,Usado,11276.87,CR-V
84,Mercedes,2005,5,Gasolina,Manual,173773,Usado,12377.31,E-Class
85,Mercedes,2018,4,Gasolina,Automatico,66729,Usado,45813.72,GLC
86,Honda,2005,1.5,Gasolina,Automatico,146287,Usado,6105.05,Fit
88,Mercedes,2017,3,Gasolina,Manual,55054,Usado,37478.09,C-Class
89,Audi,2012,1.2,Gasolina,Manual,88076,Usado,10615.26,A3
91,Honda,2022,1.5,Gasolina,Automatico,10048,Usado,25018.04,CR-V
92,Honda,2018,2.4,Gasolina,Automatico,22101,Usado,13173.61,CR-V
93,BMW,2012,4.4,Gasolina,Manual,93695,Usado,20923.81,3 Series
95,Honda,2000,1.2,Gasolina,Manual,128154,Usado,4907.68,Fit
96,Mercedes,2023,2,Hibrido,Automatico,29038,Usado,61989.73,C-Class
98,Mercedes,2006,3.2,Gasolina,Manual,93877,Usado,11020.31,E-Class
99,Tesla,2020,NA,Electrico,Automatico,52049,Usado,35543.61,Model 3
103,BMW,2006,4.4,Gasolina,Automatico,113712,Usado,14361.6,X5
104,Toyota,2014,2.5,Hibrido,Automatico,54576,Usado,8070.73,Camry
105,Mercedes,2020,3,Diesel,Manual,28843,Usado,27788.93,GLC
106,Audi,2018,2.9,Gasolina,Manual,62870,Usado,31718.36,A4
108,Honda,2016,3.5,Gasolina,Manual,62870,Usado,20573.98,Accord
111,Honda,2011,2,Gasolina,Automatico,70875,Usado,10249.52,Accord
113,BMW,2010,4.8,Gasolina,Automatico,137885,Usado,18084.36,X5
114,BMW,2002,3.2,Gasolina,Manual,175516,Usado,9663.72,3 Series
115,BMW,2007,2.5,Diesel,Manual,132556,Usado,15441.51,5 Series
116,Audi,2013,2,Diesel,Automatico,116014,Usado,17012.96,A3
117,Toyota,2013,2.5,Hibrido,Automatico,67082,Usado,10040.46,Camry
